NameID,oIndex,Class,RunOrder,Batch,AlignRef,AlignScore,AlignVector,NormRef,NormFactorMLR,NormLog10FactorMLR,NormFactorTA,NormLog10FactorTA
C_Norm_1,1,1,13,1,0,96.4,872,0,1.11,0.047,1.07,0.031
C_Norm_2,2,1,14,1,0,96.1,871,0,1.13,0.053,1.08,0.032
C_Norm_3,3,1,7,1,0,96.1,824,0,1.11,0.046,1.06,0.027
C_Norm_4,4,1,19,1,0,96.4,886,0,1.04,0.017,1.02,0.01
C_Norm_5,5,1,2,1,0,95.8,780,0,0.99,-0.0058,0.99,-0.0023
C_Norm_6,6,1,6,1,0,96.1,869,0,0.97,-0.012,0.98,-0.0075
A_LD_1,7,2,16,1,0,96,824,0,1.11,0.046,1.06,0.025
A_LD_2,8,2,9,1,0,95.9,836,0,1.06,0.025,1.03,0.011
A_LD_3,9,2,17,1,0,96,861,0,1.01,0.0049,1.01,0.0028
A_LD_4,10,2,4,1,0,96,736,1,1,0,1,0
A_LD_5,11,2,18,1,0,96,1429,0,0.99,-0.006,0.99,-0.0023
A_LD_6,12,2,5,1,0,96.4,977,0,0.96,-0.017,0.97,-0.014
B_HD_1,13,3,20,1,0,95.8,890,0,1.21,0.084,1.03,0.013
B_HD_2,14,3,21,1,0,95.9,787,0,1.15,0.06,0.99,-0.0026
B_HD_3,15,3,3,1,0,96,848,0,1.08,0.035,0.97,-0.014
B_HD_4,16,3,11,1,0,95.5,1469,0,1.07,0.03,0.95,-0.021
B_HD_5,17,3,12,1,0,95.9,889,0,1.04,0.018,0.94,-0.026
B_HD_6,18,3,10,1,0,96,1494,0,1.04,0.017,0.93,-0.029
D_QC_1,19,4,1,1,0,96.1,914,0,1.19,0.075,1.08,0.032
D_QC_2,20,4,8,1,0,96.3,973,0,1.09,0.036,1.02,0.0074
D_QC_3,21,4,15,1,0,96.4,829,0,1,-0.000098,0.98,-0.011
D_QC_4,22,4,22,1,1,100,0,0,1.01,0.0044,0.96,-0.018
